ID_REF	VALUE	5455178010_I.Avg_NBEADS	5455178010_I.BEAD_STDERR	5455178010_I.Detection Pval
ILMN_2158705	180.1377	15	11.76466	0
ILMN_1803686	475.8421	32	13.48007	0
ILMN_1745580	91.99732	21	4.673933	0.7428572
ILMN_1745108	92.60757	27	6.184831	0.7363636
ILMN_1725043	119.1883	23	5.751283	0.08051948
ILMN_2148360	146.9432	17	8.537217	0.002597403
ILMN_1718946	307.0453	30	18.3332	0
ILMN_1711374	109.4906	23	5.308225	0.2558441
ILMN_1726266	105.8384	19	7.526691	0.3519481
ILMN_1705689	96.43215	15	6.070953	0.6324675
ILMN_1785393	124.884	17	10.52146	0.04025974
ILMN_2384544	122.3909	22	7.627062	0.05714286
ILMN_1756920	563.2159	19	33.3459	0
ILMN_1799728	162.7894	25	13.46403	0
ILMN_1751500	112.4119	29	5.220301	0.1961039
ILMN_2121068	226.1554	26	15.95206	0
ILMN_1765779	117.5994	28	6.378277	0.1064935
ILMN_2201386	79.26988	16	3.41463	0.9779221
ILMN_1682225	86.16131	25	5.521185	0.887013
ILMN_1788481	91.00504	29	4.194183	0.7818182
ILMN_1713751	4931.218	24	173.3262	0
ILMN_1662675	128.0759	26	8.380977	0.02337662
ILMN_1737629	76.98742	20	2.980977	0.987013
ILMN_1812112	95.15614	24	4.487405	0.6675324
ILMN_3241313	80.18398	20	5.335153	0.9688312
ILMN_1675210	100.9762	15	12.13678	0.4987013
ILMN_1706302	105.831	30	4.311806	0.3519481
ILMN_2351754	94.99928	30	5.162802	0.6714286
ILMN_2060086	77.38258	16	4.076514	0.9857143
ILMN_1664236	87.40355	28	3.907911	0.8701299
ILMN_1664631	99.11376	17	5.386706	0.561039
ILMN_1802100	91.45329	22	6.776443	0.7662337
ILMN_2194158	121.2825	21	8.999905	0.06233766
ILMN_2100871	104.1897	19	9.235987	0.4
ILMN_1806841	105.6134	31	4.588449	0.3623376
ILMN_1798045	114.6864	16	11.68339	0.1454545
ILMN_2293012	95.2523	16	8.922875	0.6636364
ILMN_1703383	106.1497	23	6.521257	0.3441558
ILMN_1651657	101.5073	33	5.596596	0.4831169
ILMN_1671297	98.54549	15	7.524983	0.5766234
ILMN_1669486	130.1622	18	9.483118	0.01948052
ILMN_1795204	111.7616	20	6.230536	0.2090909
ILMN_2223911	99.1953	18	5.715838	0.5584416
ILMN_1685531	89.54593	13	8.017109	0.812987
ILMN_1764554	86.44573	23	4.850816	0.8805195
ILMN_2302214	87.54835	16	6.00455	0.8675325
ILMN_1783312	118.5101	23	10.90427	0.09350649
ILMN_2143210	90.33325	18	5.462808	0.7987013
ILMN_1750294	88.19561	23	3.196553	0.861039
ILMN_1708348	614.6637	23	22.61392	0
ILMN_1727524	91.55035	24	5.546463	0.7636364
ILMN_1716909	91.21674	19	3.917122	0.7714286
ILMN_2103107	90.39735	24	3.755099	0.7974026
ILMN_1673566	96.62155	19	7.980018	0.6298701
ILMN_1751168	95.77977	22	6.686371	0.648052
ILMN_1660970	91.96194	27	5.036463	0.7428572
ILMN_1787386	94.08801	25	5.209816	0.6922078
ILMN_2286570	77.59585	25	3.219132	0.9857143
ILMN_2413732	106.8898	15	6.086981	0.3181818
ILMN_1873412	101.9127	24	4.854822	0.4714286
ILMN_1676452	77.09213	31	2.788384	0.9857143
ILMN_2358134	99.57454	14	3.49881	0.5454546
ILMN_1683781	101.2206	17	3.906625	0.4909091
ILMN_1726247	88.87583	22	6.892665	0.8337662
ILMN_1682989	103.0399	23	4.072223	0.4428571
ILMN_1739872	109.9601	24	6.978292	0.2493507
ILMN_1770152	86.08942	20	3.204643	0.887013
ILMN_1656171	83.04893	22	4.625504	0.9363636
ILMN_1796628	108.1719	17	7.884077	0.2909091
ILMN_1811765	100.1755	29	4.905072	0.525974
ILMN_1791795	81.80451	14	5.607448	0.9584416
ILMN_1787908	91.35641	19	5.773673	0.7688312
ILMN_1651717	96.65432	20	3.276643	0.6246753
ILMN_1703803	98.44379	25	6.499026	0.5779221
ILMN_2092933	133.9289	24	11.21875	0.01428571
ILMN_1681886	88.19418	34	4.978452	0.861039
ILMN_1767362	114.3018	22	5.809079	0.1571429
ILMN_3251322	117.6715	19	9.416158	0.1051948
ILMN_2211790	101.1772	19	7.024995	0.4909091
ILMN_1672403	119.9103	21	6.223378	0.07532468
ILMN_1805543	91.34261	27	3.684271	0.7688312
ILMN_1706992	92.51684	27	5.753375	0.7376623
ILMN_1684919	99.96217	23	5.096675	0.5350649
ILMN_1727084	102.2477	20	5.578968	0.4636364
ILMN_1705250	82.20797	23	3.429723	0.9480519
ILMN_1722621	87.03743	27	4.603283	0.874026
ILMN_1721495	100.0059	21	6.52579	0.5337662
ILMN_1798690	105.0852	16	6.878631	0.374026
ILMN_1687035	120.8755	22	4.940152	0.07012987
ILMN_1777683	86.63671	25	3.185007	0.8792208
ILMN_1762294	90.76929	16	4.390746	0.787013
ILMN_1793040	109.8767	16	7.8135	0.2493507
ILMN_3247424	154.2238	21	9.745886	0.001298701
ILMN_1763000	112.5025	27	4.541823	0.1948052
ILMN_1776777	3503.636	22	153.4713	0
ILMN_1706963	95.44164	20	6.885856	0.6558442
ILMN_2320964	1106.156	26	47.33556	0
ILMN_1697628	107.7324	20	5.639083	0.2961039
ILMN_2319326	226.5	28	11.87288	0
ILMN_1657442	89.49437	26	3.575911	0.8155844
ILMN_1679797	1332.171	21	41.04968	0
ILMN_1749493	90.09555	19	4.145236	0.8038961
ILMN_1657139	230.6572	26	18.94042	0
ILMN_3245693	118.0711	25	7.297014	0.09740259
ILMN_1806275	196.726	19	12.30275	0
ILMN_1659599	111.4395	17	6.438111	0.2142857
ILMN_1698777	166.5356	23	13.24206	0
ILMN_1663132	377.0422	17	17.81469	0
ILMN_1700349	115.8863	15	6.298207	0.1246753
ILMN_1761309	145.8263	24	7.761621	0.002597403
ILMN_2120555	125.5899	27	10.3489	0.03246753
ILMN_1742073	98.43982	18	7.107697	0.5779221
ILMN_3241894	97.6286	21	3.660042	0.5961039
ILMN_1810691	91.99883	25	3.833379	0.7428572
ILMN_1676893	1567.381	20	39.28975	0
ILMN_2148944	106.599	15	7.819776	0.3285714
ILMN_1708588	112.8287	17	8.500382	0.1922078
ILMN_2311674	100.7869	15	5.240496	0.5077922
ILMN_1685156	113.1112	22	7.268328	0.1805195
ILMN_1655935	303.4697	11	23.67899	0
ILMN_1754440	115.2932	23	7.397959	0.1324675
ILMN_1654287	87.86557	23	2.835242	0.861039
